# for hus0h
#korAncorrectedtoincludeallextensions(NYW)usedasvowels,andextendedvowelswrittenastriplevowels(vvv)

2.012.013 .ʼalaaʼinNNNnahumhumulmufsiduunawalaakillaayašʻuruuun.
2.013.014 .waʼiḏaaqiilalahumʼaaminuukamaaʼaamananNNNnaasuqAAluuʼanuʼminukamaaʼaamanassufahaaaaaaʼ.
2.013.015 .ʼalaaʼinNNNnahumhumussufahaaaaaaʼuwalaakillaayaʻlamuuun.
2.014.016 .waʼiḏaalaqullaḏiinaʼaamanuuqAAluuʼaamanNNNnaawaʼiḏaaḫAlawʼilaašayaaṭiinihimqAAluuʼinNNNnaamaʻakumʼinNNNnamaanaḥnumustahziʼuuun.
2.015.017 .ʼALLAAhuyastahziʼubihimwayamudduhumfiiṭuġyaanihimyaʻmahuuun.
2.016.018 .ʼulaaaaaaʼikallaḏiinaštarAwḍḍAlaalatabilhudaafamaarAbiḥattiǧaarAtuhumwamaakaanuumuhtadiiin.
2.017.019 .maṯaluhumkamaṯalillaḏistawqAdanaarAmNNNfalamNNNmaaʼaḍAAAAAAʼatmaaḥawlahuuḏahabALLAAhubinuurihimwatarAkahumfiiẓulumaatillaayub*ṣiruuun.
2.018.020 .ṣumNNNmumNNNbukmunʻumyumNNNfahumlaayarǧiʻuuun.
2.019.021 .ʼawkaṣAyyibimNNNminassamaaaaaaʼifiihiẓulumaatuwWWWwarAʻduwWWWwabarquyYYYyaǧ*ʻaluunaʼaṣAAbiʻahumfiiʼaaḏaanihimNNNminaṣṣAwaaʻiqiḥaḏarAlmawwt.
2.019.022 .wALLAAhumuḥiiṭumNNNbilkaafiriiin.
2.020.023 .yakaadulbarquyaḫṭAfuʼab*ṣAArAhumkullamaaʼaḍAAAAAAʼalahumNNNmašawfiihiwaʼiḏaaʼaẓlamaʻalayhimqAAmuu.
2.020.024 .walawšaaaaaaʼALLAAhulaḏahababisamʻihimwaʼab*ṣAArihim.
2.020.025 .ʼinNNNnALLAAhaʻalaakullišayʼinNNNqAdiiir.
2.021.026 .yaaʼayyuhanNNNnaasuʻbuduurAbbakumullaḏiiḫAlaqAkumwallaḏiinaminNNNqAb*likumlaʻallakumtattaquuun.
2.022.027 .ʼallaḏiiǧaʻalalakumulʼarḍAfirAAšawWWWwassamaaaaaaʼabinaaaaaaʼawWWWwaʼanNNNzalaminassamaaaaaaʼimaaaaaaʼamNNNfaʼaḫrAǧabihiiminaṯṯamarAAtirizqAllakum.
2.022.028 .faʼaḫrAǧabihiiminaṯṯamarAAtirizqAllakumfalaataǧ*ʻaluulillaahiʼanNNNdaadawWWWwaʼanNNNtumtaʻlamuuun.
2.023.029 .waʼinNNNkunNNNtumfiirAybimNNNmimNNNmaanazzalnaaʻalaaʻab*dinaafaʼtuubisuurAtimNNNmimNNNmiṯlihiiwadʻuušuhadaaaaaaʼakumNNNminNNNduunillaahiʼinNNNkunNNNtumṣAAdiqiiin.
2.024.030 .faʼillamtafʻaluuwalanNNNtafʻaluufattaqunNNNnaarAllatiiwaquuduhanNNNnaasuwalḥiǧaarAtuʼuʻiddatlilkaafiriiin.
2.025.031 .wabašširillaḏiinaʼaamanuuwaʻamiluṣṣAAliḥaatiʼanNNNnalahumǧanNNNnaatinNNNtaǧ*riiminNNNtaḥtihalʼanhaarukullamaaruziquuminhaa.
2.025.032 .kullamaaruziquuminhaaminNNNṯamarAtirrizqAnNNNqAAluuhaaḏallaḏiiruziqnaaminNNNqAb*luwaʼutuubihiimutašaabihawWWWwalahumfiihaa.
2.025.033 .walahumfiihaaʼazwaaǧumNNNmuṭAhharAtuwWWWwahumfiihaaḫAAliduuun.
2.026.034 .ʼinNNNnALLAAhalaayastaḥyiiʼayYYYyaḍribamaṯalamNNNmaabaʻuuḍAtamNNNfamaafawqAhaa.
2.026.035 .faʼamNNNmallaḏiinaʼaamanuufayaʻlamuunaʼanNNNnahulḥaqqumirrAbbihimwaʼamNNNmallaḏiinakafaruufayaquuluunamaaḏaaʼarAAdaLLAAhubihaaḏaamaṯalaa.
2.026.036 .yuḍillubihiikaṯiirAwWWWwayahdiibihiikaṯiirAwWWWwamaayuḍillubihiiʼillalfaasiqiiin.
2.027.037 .ʼallaḏiinayanNNNquḍuunaʻahdaLLAAhimimNNNbaʻdimiiṯaaqihiiwayaq*ṭAʻuunamaaʼamarALLAAhubihiiʼayYYYyuuṣAlawayufsiduunafilʼarḍiʼulaaaaaaʼikahumulḫAAsiruuun.
2.028.038 .kayfatakfuruunabillaahiwakunNNNtumʼamwaatamNNNfaʼaḥyaakumṯumNNNmayumiitukumṯumNNNmayuḥyiikumṯumNNNmaʼilayhiturǧaʻuuun.
2.029.039 .huwallaḏiiḫAlaqAlakumNNNmaafilʼarḍiǧamiiʻanNNNṯumNNNmastawaaʼilassamaaaaaaʼifasawwaahunNNNnasab*ʻasamaawaaat.
2.029.040 .wahuwabikullišayʼinʻaliiim.
2.030.041 .waʼiḏqAAlarAbbukalilmalaaaaaaʼikatiʼinNNNniiǧaaʻilumNNNfilʼarḍiḫAliifatanNNNqAAluuʼataǧ*ʻalufiihaamayYYYyufsidufiihaawayasfikudimaaaaaaʼ.
2.030.042 .qAAluuʼataǧ*ʻalufiihaamayYYYyufsidufiihaawayasfikuddimaaaaaaʼawanaḥnunusabbiḥubiḥamdikawanuqAddisulak.
2.030.043 .wanaḥnunusabbiḥubiḥamdikawanuqAddisulakaqAAlaʼinNNNniiʼaʻlamumaalaataʻlamuuun.
2.031.044 .waʻallamaʼaadamalʼasmaaaaaaʼakullahaaṯumNNNmaʻarAḍAhumʻalalmalaaaaaaʼikatifaqAAlaʼamNNNbiʼuuniibiʼasmaaaaaaʼihaaʼulaaaaaaʼiʼinNNNkunNNNtumṣAAdiqiiin.
2.032.045 .qAAluusub*ḥaanakalaaʻilmalanaaʼillaamaaʻallamtanaaʼinNNNnakaʼanNNNtalʻaliimulḥakiiim.
2.033.046 .qAAlayaaʼaadamuʼamNNNbiʼhumNNNbiʼasmaaaaaaʼihimfalamNNNmaaʼamNNNbaʼahumNNNbiʼasmaaaaaaʼihimqAAlaʼalamʼaqullakumʼinNNNniiʼaʻlamuġAybassamaawaatiwalʼarḍ.
2.033.047 .qAAlaʼalamʼaqullakumʼinNNNniiʼaʻlamuġAybassamaawaatiwalʼarḍiwaʼaʻlamumaatub*duunawamaakunNNNtumtaktumuuun.
2.034.048 .waʼiḏqulnaalilmalaaaaaaʼikatisǧuduuliʼaadamafasaǧaduuʼillaaʼib*liisaʼabaawastakbarAwakaanaminalkaafiriiin.
2.035.049 .waqulnaayaaʼaadamuskunʼanNNNtawazawǧukalǧanNNNnatawakulaaminhaarAġAdanḥayṯušiʼtumaawalaataqrAbaahaaḏihiššaǧarAtafatakuunaaminaẓẓAAlimiiin.
2.036.050 .faʼazallahumaššayṭAAnuʻanhaafaʼaḫrAǧahumaamimNNNmaakaanaafiihiwaqulnahbiṭuubaʻḍukumlibaʻḍinʻaduwwuwWWWwalakumfilʼarḍimustaqArr.
2.036.051 .walakumfilʼarḍimustaqArruwWWWwamataaʻunʼilaaḥiiin.
2.037.052 .fatalaqqAAʼaadamumirrAbbihiikalimaatimNNNfataabaʻalayyh.
2.037.053 .ʼinNNNnahuuhuwattawwaaburrAḥiiim.
2.038.054 .qulnahbiṭuuminhaaǧamiiʻamNNNfaʼimNNNmaayaʼtiyanNNNnakumNNNminNNNniihudamNNNfamanNNNtabiʻahudaayafalaaḫAwfunʻalayhimwalaahumyaḥzanuuun.
2.039.055 .wallaḏiinakafaruuwakaḏḏabuubiʼaayaatinaaʼulaaaaaaʼikaʼaṣḥaabunNNNnaarihumfiihaaḫAAliduuun.
2.040.056 .yaabaniiʼisrAAAAAAʼiilaḏkuruuniʻmatiyallatiiʼanʻamtuʻalaykumwaʼawfuubiʻahdiiʼuufibiʻahdikumwaʼiyyaayafarhabuuun.
2.041.057 .waʼaaminuubimaaʼanNNNzaltumuṣAddiqAllimaamaʻakumwalaatakuunuuʼawwalakaafirimNNNbihiiwalaataštaruubiʼaayaatiiṯamananNNNqAliilawWWWwaʼiyyaayafattaquuun.
2.042.058 .walaatalbisulḥaqqAbilbaaṭiliwataktumulḥaqqAwaʼanNNNtumtaʻlamuuun.
2.043.059 .waʼaqiimuṣṣAlaatawaʼaatuzzakaatawarkaʻuumaʻarrAAkiʻiiin.
2.044.060 .ʼataʼmuruunanNNNnaasabilbirriwatanNNNsawnaʼanNNNfusakumwaʼanNNNtumtatluunalkitaaab.
2.044.061 .ʼafalaataʻqiluuun.
2.045.062 .wastaʻiinuubiṣṣAb*riwaṣṣAlaatiwaʼinNNNnahaalakabiirAtunʼillaaʻalalḫAAšiʻiiin.
2.046.063 .ʼallaḏiinayaẓunNNNnuunaʼanNNNnahumNNNmulaaquurAbbihimwaʼanNNNnahumʼilayhirAAǧiʻuuun.
2.047.064 .yaabaniiʼisrAAAAAAʼiilaḏkuruuniʻmatiyallatiiʼanʻamtuʻalaykumwaʼanNNNniifaḍḍAltukumʻalalʻaalamiiin.
2.048.065 .wattaquuyawmallaataǧ*ziinafsunʻanNNNnafsinNNNšayʼawWWWwalaayuqbaluminhaašafaaʻatuwWWWwalaayuʼḫAḏuminhaaʻadluwWWWwalaahumyunNNNṣAruuun.
2.049.066 .waʼiḏnaǧǧaynaakumNNNminʼaalifirʻawnayasuumuunakumsuuuuuuʼalʻaḏaabiyuḏabbiḥuunaʼab*naaaaaaʼakumwayastaḥyuunanisaaaaaaʼakum.
2.049.067 .wafiiḏalikumNNNbalaaaaaaʼumNNNmirrAbbikumʻaẓiiim.
2.050.068 .waʼiḏfarAq*naabikumulbaḥrAfaʼanNNNǧaynaakumwaʼaġrAqnaaʼaalafirʻawnawaʼanNNNtumtanNNNẓuruuun.
2.051.069 .waʼiḏwaaʻad*naamuusaaʼarbaʻiinalaylatanNNNṯumNNNmattaḫAḏtumulʻiǧ*lamimNNNbaʻdihiwaʼanNNNtumẓAAlimuuun.
2.052.070 .ṯumNNNmaʻafawnaaʻanNNNkumNNNmimNNNbaʻdiḏaalikalaʻallakumtaškuruuun.
2.053.071 .waʼiḏʼaataynaamuusalkitaabawalfurqAAnalaʻallakumtahtaduuun.
2.054.072 .waʼiḏqAAlamuusaaliqAwmihiiyaaqAwmiʼinNNNnakumẓAlamtumʼamNNNfusakumNNNbittiḫAAḏikumulʻiǧ*lafatuubuuʼilaabaariʼikumfaqtuluuʼamNNNfusakum.
2.054.073 .ḏalikumḫAyrullakumʻinNNNdabaariʼikumfataabaʻalaykum.
2.054.074 .ʼinNNNnahuuhuwattawwaaburrAḥiiim.
2.055.075 .waʼiḏqultumyaamuusaalanNNNnuʼminalakaḥattaanarALLAAhaǧahrAtamNNNfaʼaḫAḏatkumuṣṣAAʻiqAtuwaʼanNNNtumtanNNNẓuruuun.
2.056.076 .ṯumNNNmabaʻaṯnaakumNNNmimNNNbaʻdimawtikumlaʻallakumtaškuruuun.
2.057.077 .waẓAllalnaaʻalaykumulġAmaamawaʼanNNNzalnaaʻalaykumulmanNNNnawassalwaakuluuminNNNṭAyyibaatimaarAzaq*naakum.
2.057.078 .wamaaẓAlamuunaawalaakinNNNkaanuuʼamNNNfusahumyaẓlimuuun.
2.058.079 .waʼiḏqulnad*ḫuluuhaḏihilqAryatafakuluuminhaaḥayṯušiʼtumrAġAdawWWWwadḫululbaabasuǧǧadawWWWwaquuluuḥiṭṭAtunNNNnaġfirlakumḫAṭAAyaakum.
2.058.080 .wasanaziidulmuḥsiniiin.
2.059.081 .fabaddalallaḏiinaẓAlamuuqAwlanġAyrAllaḏiiqiilalahumfaʼanNNNzalnaaʻalallaḏiinaẓAlamuuriǧ*zamNNNminassamaaaaaaʼibimaakaanuuyafsuquuun.
2.060.082 .waʼiḏistasqAAmuusaaliqAwmihiifaqulnaḍribbiʻaṣAAkalḥaǧarAfamNNNfaǧarAtminhuṯnataaʻašrAtaʻaynanNNNqAdʻalimakulluʼunaasimNNNmašrAbahum.
2.060.083 .qAdʻalimakulluʼunaasimNNNmašrAbahumkuluuwašrAbuumirrizqillaahiwalaataʻṯawfilʼarḍimufsidiiin.
2.061.084 .waʼiḏqultumyaamuusaalanNNNnaṣbirAʻalaaṭAʻaamiwWWWwaaḥidimNNNfadʻulanaarAbbakayuḫriǧ*lanaamimNNNmaatumNNNbitulʼarḍumimNNNbaq*lihaawaqiṯṯaaaaaaʼihaawafuumihaawaʻadasihaawabaṣAlihaa.
2.061.085 .fad*ʻulanaarAbbakayuḫriǧ*lanaamimNNNmaatumNNNbitulʼarḍumimNNNbaq*lihaawaqiṯṯaaaaaaʼihaawafuumihaawaʻadasihaawabaṣAlihaaqAAlaʼatastab*diluunallaḏiihuwaʼad*naabillaḏiihuwaḫAyyr.
2.061.086 .ʼihbiṭuumiṣrAmNNNfaʼinNNNnalakumNNNmaasaʼaltum.
2.061.087 .waḍuribatʻalayhimuḏḏillatuwalmaskanatuwabaaaaaaʼuubiġAḍAbimNNNminaLLAAAh.
2.061.088 .ḏaalikabiʼanNNNnahumkaanuuyakfuruunabiʼaayaatillaahiwayaq*tuluunanNNNnabiyyiinabiġAyrilḥaqq.
2.061.089 .ḏaalikabimaaʻaṣAwwakaanuuyaʻtaduuun.
2.062.090 .ʼinNNNnallaḏiinaʼaamanuuwallaḏiinahaaduuwanNNNnaṣAArAAwaṣṣAAbiʼiinamanʼaamanabillaahiwalyawmilʼaaḫir.
2.062.091 .manʼaamanabillaahiwalyawmilʼaaḫiriwaʻamilaṣAAliḥamNNNfalahumʼaǧ*ruhumʻinNNNdarAbbihimwalaaḫAwfunʻalayhimwalaahumyaḥzanuuun.
2.063.092 .waʼiḏʼaḫAḏnaamiiṯaaqAkumwarAfaʻnaafawqAkumuṭṭuurAḫuḏuumaaʼaataynaakumNNNbiquwwatiwWWWwaḏkuruumaafiihilaʻallakumtattaquuun.
2.064.093 .ṯumNNNmatawallaytumNNNmimNNNbaʻdiḏaalikafalawlaafaḍluLLAAhiʻalaykumwarAḥmatuhuulakunNNNtumNNNminalḫAAsiriiin.
2.065.094 .walaqAdʻalimtumullaḏiinaʻtadawminNNNkumfissab*tifaqulnaalahumkuunuuqirAdatanḫAAsiʼiiin.
2.066.095 .faǧaʻalnaahaanakaalallimaabaynayadayhaawamaaḫAlfahaawamawʻiẓAtallilmuttaqiiin.
2.067.096 .waʼiḏqAAlamuusaaliqAwmihiiʼinNNNnALLAAhayaʼmurukumʼanNNNtaḏbaḥuubaqArAtanNNNqAAluuʼatattaḫiḏunaahuzuwanNNNqAAlaʼaʻuuḏubillaahiʼanʼakuunaminalǧaahiliiin.
2.068.097 .qAAludʻulanaarAbbakayubayyillanaamaahiy.
2.068.098 .qAAlaʼinNNNnahuuyaquuluʼinNNNnahaabaqArAtullaafaariḍuwWWWwalaabikrunʻawaanumNNNbaynaḏaalikafafʻaluumaatuʼmaruuun.
2.069.099 .qAAludʻulanaarAbbakayubayyillanaamaalawnuhaa.
2.069.100 .qAAlaʼinNNNnahuuyaquuluʼinNNNnahaabaqArAtunNNNṣAfrAAAAAAʼufaaqiʻullawnuhaatasurrunNNNnaaẓiriiin.
2.070.101 .qAAludʻulanaarAbbakayubayyillanaamaahiyaʼinNNNnalbaqArAtašaabahaʻalaynaawaʼinNNNnaaʼinNNNšaaaaaaʼALLAAhulamuhtaduuun.
2.071.102 .qAAlaʼinNNNnahuuyaquuluʼinNNNnahaabaqArAtullaaḏaluulunNNNtuṯiirulʼarḍAwalaatasqilḥarṯamusallamatullaašiyatafiihaa.
2.071.103 .qAAlulʼaanaǧiʼtabilḥaqqifaḏabaḥuuhaawamaakaaduuyafʻaluuun.
2.072.104 .waʼiḏqAtaltumnafsamNNNfaddaarAʼtumfiihaawALLAAhumuḫriǧumNNNmaakunNNNtumtaktumuuun.
2.073.105 .faqulnaḍribuuhubibaʻḍihaa.
2.073.106 .kaḏaalikayuḥyillaahulmawtaawayuriikumʼaayaatihilaʻallakumtaʻqiluuun.
2.074.107 .ṯumNNNmaqAsatquluubukumNNNmimNNNbaʻdiḏaalikafahiyakalḥiǧaarAtiʼawʼašaduqAswah.
2.074.108 .waʼinNNNnaminalḥiǧaarAtilamaayatafaǧǧaruminhulʼanhaaar.
2.074.109 .waʼinNNNnaminhaalamaayaššaqqAqufayaḫruǧuminhulmaaaaaaʼ.
2.074.110 .waʼinNNNnaminhaalamaayahbiṭuminḫAšyatillaaah.
2.074.111 .wamaLLAAhubiġAAfilinʻamNNNmaataʻmaluuun.
2.075.112 .ʼafataṭ*maʻuunaʼayYYYyuʼminuulakumwaqAd*kaanafariiqumNNNminhumyasmaʻuunakalaamaLLAAhiṯumNNNmayuḥarrifuunahuumimNNNbaʻdimaaʻaqAluuhuwahumyaʻlamuuun.
2.076.113 .waʼiḏaalaqullaḏiinaʼaamanuuqAAluuʼaamanNNNnaawaʼiḏaaḫAlaabaʻḍuhumʼilaabaʻḍinNNNqAAluuʼatuḥaddiṯuunahumNNNbimaafataḥaLLAAhuʻalaykum.
2.076.114 .qAAluuʼatuḥaddiṯuunahumNNNbimaafataḥaLLAAhuʻalaykumliyuḥaaaaaaaaaaǧǧuukumNNNbihiʻinNNNdarAbbikum.
2.076.115 .ʼafalaataʻqiluuun.
2.077.116 .ʼawalaayaʻlamuunaʼanNNNnALLAAhayaʻlamumaayusirruunawamaayuʻlinuuun.
2.078.117 .waminhumʼumNNNmiyyuunalaayaʻlamuunalkitaabaʼillaaʼamaaniyyawaʼinhumʼillaayaẓunNNNnuuun.
2.079.118 .fawaylullillaḏiinayaktubuunalkitaababiʼaydiihimṯumNNNmayaquuluunahaaḏaaminʻinNNNdillaahiliyaštaruubihiṯamananNNNqAliilamNNNfawaylullahum.
2.079.119 .fawaylullahumNNNmimNNNmaakatabatʼaydiihimwawaylullahumNNNmimNNNmaayaksibuuun.
2.080.120 .waqAAluulanNNNtamassananNNNnaaruʼillaaʼayyaamamNNNmaʻduudah.
2.080.121 .qulʼattaḫAḏtumʻinNNNdaLLAAhiʻahdamNNNfalayYYYyuḫlifALLAAhuʻahdahuuʼamtaquuluunaʻalaLLAAhimaalaataʻlamuuun.
2.081.122 .balaamanNNNkasabasayyiʼatawWWWwaʼaḥaaṭAtbihiiḫAṭiiiiiiʼatuhuufaʼulaaaaaaʼikaʼaṣḥaabunNNNnaarihumfiihaaḫAAliduuun.
2.082.123 .wallaḏiinaʼaamanuuwaʻamiluṣṣAAliḥaatiʼulaaaaaaʼikaʼaṣḥaabulǧanNNNnatihumfiihaaḫAAliduuun.
2.083.124 .waʼiḏʼaḫAḏnaamiiṯaaqAbaniiʼisrAAAAAAʼiilalaataʻbuduunaʼillaLLAAhawabilwaalidayniʼiḥsaanawWWWwaḏilqurbaa.
2.083.125 .waḏilqurbaawalyataamaawalmasaakiiniwaquuluulinNNNnaasiḥusnawWWWwaʼaqiimuṣṣAlaatawaʼaatuzzakaaah.
2.083.126 .waʼaqiimuṣṣAlaatawaʼaatuzzakaataṯumNNNmatawallaytumʼillaaqAliilamNNNminNNNkumwaʼanNNNtumNNNmuʻriḍuuun.
2.084.127 .waʼiḏʼaḫAḏnaamiiṯaaqAkumlaatasfikuunadimaaaaaaʼakumwalaatuḫriǧuunaʼamNNNfusakumNNNminNNNdiyaarikumṯumNNNmaʼaq*rArtumwaʼanNNNtumtašhaduuun.
2.085.128 .ṯumNNNmaʼanNNNtumhaaʼulaaaaaaʼitaq*tuluunaʼamNNNfusakumwatuḫriǧuunafariiqAmNNNminNNNkumNNNminNNNdiyaarihim.
2.085.129 .watuḫriǧuunafariiqAmNNNminNNNkumNNNminNNNdiyaarihimtaẓAAharuunaʻalayhimNNNbilʼiṯmiwalʻud*waaan.
2.085.130 .taẓAAharuunaʻalayhimNNNbilʼiṯmiwalʻud*waaniwaʼiyYYYyaʼtuukumʼusaarAAtufaaduuhumwahuwamuḥarrAmunʻalaykumʼiḫrAAǧuhum.
2.085.131 .ʼafatuʼminuunabibaʻḍilkitaabiwatakfuruunabibaʻḍ.
2.085.132 .famaaǧazaaaaaaʼumayYYYyafʻaluḏaalikaminNNNkumʼillaaḫizyumNNNfilḥayaatiddunyaawayawmalqiyaamatiyurAdduunaʼilaaʼašaddilʻaḏaaab.
2.085.133 .wamaLLAAhubiġAAfilinʻamNNNmaataʻmaluuun.
2.086.134 .ʼulaaaaaaʼikallaḏiinaštarAwilḥayaataddunyaabilʼaaḫirAtifalaayuḫAffafuʻanhumulʻaḏaabuwalaahumyunNNNṣAruuun.
2.087.135 .walaqAd*ʼaataynaamuusalkitaabawaqAffaynaamimNNNbaʻdihibirrusuliwaʼaataynaaʻiisab*namaryamalbayyinaatiwaʼayyadnaahubiruuḥilqudus.
2.087.136 .ʼafakullamaaǧaaaaaaʼakumrAsuulumNNNbimaalaatahwaaʼamNNNfusukumustakbartumfafariiqAnNNNkaḏḏab*tum.
2.087.137 .fafariiqAnNNNkaḏḏab*tumwafariiqAnNNNtaq*tuluuun.
2.088.138 .waqAAluuquluubunaaġulf.
2.088.139 .ballaʻanahumuLLAAhubikufrihimfaqAliilamNNNmaayuʼminuuun.
2.089.140 .walamNNNmaaǧaaaaaaʼahumkitaabumNNNminʻinNNNdillaahimuṣAddiqullimaamaʻahumwakaanuuminNNNqAb*luyastaftiḥuunaʻalallaḏiinakafaruufalamNNNmaa.
2.089.141 .wakaanuuminNNNqAb*luyastaftiḥuunaʻalallaḏiinakafaruufalamNNNmaaǧaaaaaaʼahumNNNmaaʻarAfuukafaruubih.
2.089.142 .falaʻnatuLLAAhiʻalalkaafiriiin.
2.090.143 .biʼsamaštarAwbihiiʼamNNNfusahumʼayYYYyakfuruubimaaʼanNNNzalaLLAAhubaġyanʼayYYYyunazzilaLLAAhumimNNNfaḍlihiʻalaamayYYYyašaaaaaaʼuminʻibaadihiifabaaaaaaʼuu.
2.090.144 .fabaaaaaaʼuubiġAḍAbinʻalaaġAḍAb.
2.090.145 .walilkaafiriinaʻaḏaabumNNNmuhiiin.
2.091.146 .waʼiḏaaqiilalahumʼaaminuubimaaʼanNNNzalaLLAAhuqAAluunuʼminubimaaʼunNNNzilaʻalaynaawayakfuruunabimaawarAAAAAAʼah.
2.091.147 .wayakfuruunabimaawarAAAAAAʼahuuwahuwalḥaqqumuṣAddiqAllimaamaʻahum.
2.091.148 .qulfalimataq*tuluunaʼamNNNbiyaaaaaaʼALLAAhiminNNNqAb*luʼinNNNkunNNNtumNNNmuʼminiiin.
2.092.149 .walaqAdǧaaaaaaʼakumNNNmuusaabilbayyinaatiṯumNNNmattaḫAḏtumulʻiǧ*lamimNNNbaʻdihiiwaʼanNNNtumẓAAlimuuun.
2.093.150 .waʼiḏʼaḫAḏnaamiiṯaaqAkumwarAfaʻnaafawqAkumuṭṭuurAḫuḏuumaaʼaataynaakumNNNbiquwwatiwWWWwasmaʻuuqAAluusamiʻnaawaʻaṣAynaa.
2.093.151 .qAAluusamiʻnaawaʻaṣAynaawaʼušribuufiiquluubihimulʻiǧ*labikufrihim.
2.093.152 .qulbiʼsamaayaʼmurukumNNNbihiʼiimaanukumʼinNNNkunNNNtumNNNmuʼminiiin.
2.094.153 .qulʼinNNNkaanatlakumuddaarulʼaaḫirAtuʻinNNNdaLLAAhiḫAAliṣAtamNNNminNNNduuninNNNnaasifatamanNNNnawilmawtaʼinNNNkunNNNtumṣAAdiqiiin.
2.095.154 .walayYYYyatamanNNNnawhuʼabadamNNNbimaaqAddamatʼaydiihim.
2.095.155 .wALLAAhuʻaliimumNNNbiẓẓAAlimiiin.
2.096.156 .walataǧidanNNNnahumʼaḥrAṣAnNNNnaasiʻalaaḥayaatiwWWWwaminallaḏiinaʼašrAkuu.
2.096.157 .yawadduʼaḥaduhumlawyuʻamNNNmaruʼalfasanatiwWWWwamaahuwabimuzaḥziḥihiiminalʻaḏaabiʼayYYYyuʻamNNNmar.
2.096.158 .wALLAAhubaṣiirumNNNbimaayaʻmaluuun.
2.097.159 .qulmanNNNkaanaʻaduwwalliǧib*riilafaʼinNNNnahuunazzalahuuʻalaaqAlbikabiʼiḏnillaahimuṣAdiqAllimaabaynayadayhiwahudawWWWwabušrAAlilmuʼminiiin.
2.098.160 .manNNNkaanaʻaduwwallillaahiwamalaaaaaaʼikatihiiwarusulihiiwaǧib*riilawamiikaalafaʼinNNNnALLAAhaʻaduwwullilkaafiriiin.
2.099.161 .walaqAd*ʼanNNNzalnaaʼilaykaʼaayaatimNNNbayyinaatiwWWWwamaayakfurubihaaʼillalfaasiquuun.
2.100.162 .ʼawakullamaaʻaahaduuʻahdanNNNnabaḏahuufariiqumNNNminhum.
2.100.163 .balʼakṯaruhumlaayuʼminuuun.
2.101.164 .walamNNNmaaǧaaaaaaʼahumrAsuulumNNNminʻinNNNdillaahimuṣAddiqullimaamaʻahumnabaḏafariiqumNNNminallaḏiinaʼuutulkitaabakitaabALLAAhiwarAAAAAAʼaẓuhuurihim.
2.101.165 .nabaḏafariiqumNNNminallaḏiinaʼuutulkitaabakitaabALLAAhiwarAAAAAAʼaẓuhuurihimkaʼanNNNnahumlaayaʻlamuuun.
2.102.166 .wattabaʻuumaatatluššayaaṭiinuʻalaamulkisulaymaanawamaakafarAsulaymaanuwalaakinNNNnaššayaaṭiinakafaruu.
2.102.167 .wamaakafarAsulaymaanuwalaakinNNNnaššayaaṭiinakafaruuyuʻallimuunanNNNnaasassiḥrAwamaaʼunNNNzilaʻalalmalakaynibibaabilahaaruutawamaaruuut.
