# for hus9h



  2.014.018 .waʼiḏaaḫAlawʼilaašayaaṭiinihimqAAluuʼinNNNnaamaʻakumʼinNNNnamaanaḥnumustahziʼuuun.
  2.015.019 .ʼALLAAhuyastahziʼubihimwayamudduhumfiiṭuġyaanihimyaʻmahuuun.
  2.016.020 .ʼulaaaaaaʼikallaḏiinaštarAwḍḍAlaalatabilhudaafamaarAbiḥattiǧaarAtuhumwamaakaanuumuhtadiiin.
  2.017.021 .maṯaluhumkamaṯalillaḏistawqAdanaarAmNNNfalamNNNmaaʼaḍAAAAAAʼatmaaḥawlahuuḏahabALLAAhubinuurihim.
  2.017.022 .falamNNNmaaʼaḍAAAAAAʼatmaaḥawlahuuḏahabALLAAhubinuurihimwatarAkahumfiiẓulumaatillaayub*ṣiruuun.
  2.018.023 .ṣumNNNmumNNNbukmunʻumyumNNNfahumlaayarǧiʻuuun.
  2.019.024 .ʼawkaṣAyyibimNNNminassamaaaaaaʼifiihiẓulumaatuwWWWwarAʻduwWWWwabarq*.
  2.019.025 .yaǧ*ʻaluunaʼaṣAAbiʻahumfiiʼaaḏaanihimNNNminaṣṣAwaaʻiqiḥaḏarAlmawwwt.
  2.019.026 .wALLAAhumuḥiiṭumNNNbilkaafiriiin.
  2.020.027 .yakaadulbarquyaḫṭAfuʼab*ṣAArAhumkullamaaʼaḍAAAAAAʼalahumNNNmašawfiihiwaʼiḏaaʼaẓlamaʻalayhimqAAmuu.
  2.020.028 .walawšaaaaaaʼALLAAhulaḏahababisamʻihimwaʼab*ṣAArihim.
  2.020.029 .ʼinNNNnALLAAhaʻalaakullišayʼinNNNqAdiiir.
  2.021.030 .yaaʼayyuhanNNNnaasuʻbuduurAbbakumullaḏiiḫAlaqAkumwallaḏiinaminNNNqAb*likumlaʻallakumtattaquuun.
  2.022.031 .ʼallaḏiiǧaʻalalakumulʼarḍAfirAAšawWWWwassamaaaaaaʼabinaaaaaaʼawWWWwaʼanNNNzalaminassamaaaaaaʼimaaaaaaʼaa.
  2.022.032 .waʼanNNNzalaminassamaaaaaaʼimaaaaaaʼamNNNfaʼaḫrAǧabihiiminaṯṯamarAAtirizqAllakum.
  2.022.033 .falaataǧ*ʻaluulillaahiʼanNNNdaadawWWWwaʼanNNNtumtaʻlamuuun.
  2.023.034 .waʼinNNNkunNNNtumfiirAybimNNNmimNNNmaanazzalnaaʻalaaʻab*dinaafaʼtuubisuurAtimNNNmimNNNmiṯlih.
  2.023.035 .faʼtuubisuurAtimNNNmimNNNmiṯlihiiwadʻuušuhadaaaaaaʼakumNNNminNNNduunillaahiʼinNNNkunNNNtumṣAAdiqiiin.
  2.024.036 .faʼillamtafʻaluuwalanNNNtafʻaluufattaqunNNNnaarAllatiiwaquuduhanNNNnaasuwalḥiǧaarAtuʼuʻiddatlilkaafiriiin.
  2.025.037 .wabašširillaḏiinaʼaamanuuwaʻamiluṣṣAAliḥaatiʼanNNNnalahumǧanNNNnaatinNNNtaǧ*riiminNNNtaḥtihalʼanhaar.
  2.025.038 .kullamaaruziquuminhaaminNNNṯamarAtirrizqAnNNNqAAluuhaaḏallaḏiiruziqnaaminNNNqAb*luwaʼutuubihiimutašaabihaa.
  2.025.039 .walahumfiihaaʼazwaaǧumNNNmuṭAhharAtuwWWWwahumfiihaaḫAAliduuun.
  2.026.040 .ʼinNNNnALLAAhalaayastaḥyiiʼayYYYyaḍribamaṯalamNNNmaabaʻuuḍAtamNNNfamaafawqAhaa.
  2.026.041 .faʼamNNNmallaḏiinaʼaamanuufayaʻlamuunaʼanNNNnahulḥaqqumirrAbbihim.
  2.026.042 .waʼamNNNmallaḏiinakafaruufayaquuluunamaaḏaaʼarAAdaLLAAhubihaaḏaamaṯalaa.
  2.026.043 .yuḍillubihiikaṯiirAwWWWwayahdiibihiikaṯiirAA.
  2.027.044 .wamaayuḍillubihiiʼillalfaasiqiiin.
  2.027.045 .ʼallaḏiinayanNNNquḍuunaʻahdaLLAAhimimNNNbaʻdimiiṯaaqihiiwayaq*ṭAʻuunamaaʼamarALLAAhubihiiʼayYYYyuuṣAlawayufsiduunafilʼarḍ.
  2.027.046 .ʼulaaaaaaʼikahumulḫAAsiruuun.
  2.028.047 .kayfatakfuruunabillaahiwakunNNNtumʼamwaatamNNNfaʼaḥyaakumṯumNNNmayumiitukumṯumNNNmayuḥyiikum.
  2.028.048 .ṯumNNNmayumiitukumṯumNNNmayuḥyiikumṯumNNNmaʼilayhiturǧaʻuuun.
  2.029.049 .huwallaḏiiḫAlaqAlakumNNNmaafilʼarḍiǧamiiʻanNNNṯumNNNmastawaaʼilassamaaaaaaʼifasawwaahunNNNnasab*ʻasamaawaaat.
  2.029.050 .wahuwabikullišayʼinʻaliiim.
  2.030.051 .waʼiḏqAAlarAbbukalilmalaaaaaaʼikatiʼinNNNniiǧaaʻilumNNNfilʼarḍiḫAliifah.
  2.030.052 .qAAluuʼataǧ*ʻalufiihaamayYYYyufsidufiihaawayasfikuddimaaaaaaʼawanaḥnunusabbiḥubiḥamdikawanuqAddisulak.
  2.030.053 .qAAlaʼinNNNniiʼaʻlamumaalaataʻlamuuun.
  2.031.054 .waʻallamaʼaadamalʼasmaaaaaaʼakullahaaṯumNNNmaʻarAḍAhumʻalalmalaaaaaaʼikatifaqAAlaʼamNNNbiʼuunii.
  2.031.055 .faqAAlaʼamNNNbiʼuuniibiʼasmaaaaaaʼihaaʼulaaaaaaʼiʼinNNNkunNNNtumṣAAdiqiiin.
  2.032.056 .qAAluusub*ḥaanakalaaʻilmalanaaʼillaamaaʻallamtanaaʼinNNNnakaʼanNNNtalʻaliimulḥakiiim.
  2.033.057 .qAAlayaaʼaadamuʼamNNNbiʼhumNNNbiʼasmaaaaaaʼihim.
  2.033.058 .falamNNNmaaʼamNNNbaʼahumNNNbiʼasmaaaaaaʼihimqAAlaʼalamʼaqullakum.
  2.033.059 .qAAlaʼalamʼaqullakumʼinNNNniiʼaʻlamuġAybassamaawaatiwalʼarḍiwaʼaʻlamumaatub*duunawamaakunNNNtumtaktumuuun.
  2.034.060 .waʼiḏqulnaalilmalaaaaaaʼikatisǧuduuliʼaadamafasaǧaduuʼillaaʼib*liisaʼabaawastakbarAwakaanaminalkaafiriiin.
  2.035.061 .waqulnaayaaʼaadamuskunʼanNNNtawazawǧukalǧanNNNnatawakulaaminhaarAġAdanḥayṯušiʼtumaa.
  2.035.062 .wakulaaminhaarAġAdanḥayṯušiʼtumaawalaataqrAbaahaaḏihiššaǧarAtafatakuunaaminaẓẓAAlimiiin.
  2.036.063 .faʼazallahumaššayṭAAnuʻanhaafaʼaḫrAǧahumaamimNNNmaakaanaafiih.
  2.036.064 .waqulnahbiṭuubaʻḍukumlibaʻḍinʻaduwwuwWWWwalakumfilʼarḍimustaqArruwWWWwamataaʻunʼilaaḥiiin.
  2.037.065 .fatalaqqAAʼaadamumirrAbbihiikalimaatimNNNfataabaʻalayyh.
  2.037.066 .ʼinNNNnahuuhuwattawwaaburrAḥiiim.
  2.038.067 .qulnahbiṭuuminhaaǧamiiʻaafaʼimNNNmaayaʼtiyanNNNnakumNNNminNNNniihudaa.
  2.038.068 .faʼimNNNmaayaʼtiyanNNNnakumNNNminNNNniihudamNNNfamanNNNtabiʻahudaayafalaaḫAwfunʻalayhimwalaahumyaḥzanuuun.
  2.039.069 .wallaḏiinakafaruuwakaḏḏabuubiʼaayaatinaaʼulaaaaaaʼikaʼaṣḥaabunNNNnaarihumfiihaaḫAAliduuun.
  2.040.070 .yaabaniiʼisrAAAAAAʼiilaḏkuruuniʻmatiyallatiiʼanʻamtuʻalaykumwaʼawfuubiʻahdii.
  2.040.071 .waʼawfuubiʻahdiiʼuufibiʻahdikumwaʼiyyaayafarhabuuun.
  2.041.072 .waʼaaminuubimaaʼanNNNzaltumuṣAddiqAllimaamaʻakumwalaatakuunuuʼawwalakaafirimNNNbih.
  2.041.073 .walaataštaruubiʼaayaatiiṯamananNNNqAliilawWWWwaʼiyyaayafattaquuun.
  2.042.074 .walaatalbisulḥaqqAbilbaaṭiliwataktumulḥaqqAwaʼanNNNtumtaʻlamuuun.
  2.043.075 .waʼaqiimuṣṣAlaatawaʼaatuzzakaatawarkaʻuumaʻarrAAkiʻiiin.
  2.044.076 .ʼataʼmuruunanNNNnaasabilbirriwatanNNNsawnaʼanNNNfusakumwaʼanNNNtumtatluunalkitaaab.
  2.044.077 .ʼafalaataʻqiluuun.
  2.045.078 .wastaʻiinuubiṣṣAb*riwaṣṣAlaah.
  2.045.079 .waʼinNNNnahaalakabiirAtunʼillaaʻalalḫAAšiʻiiin.
  2.046.080 .ʼallaḏiinayaẓunNNNnuunaʼanNNNnahumNNNmulaaquurAbbihimwaʼanNNNnahumʼilayhirAAǧiʻuuun.
  2.047.081 .yaabaniiʼisrAAAAAAʼiilaḏkuruuniʻmatiyallatiiʼanʻamtuʻalaykumwaʼanNNNniifaḍḍAltukumʻalalʻaalamiiin.
  2.048.082 .wattaquuyawmallaataǧ*ziinafsunʻanNNNnafsinNNNšayʼawWWWwalaayuqbaluminhaašafaaʻah.
  2.048.083 .walaayuqbaluminhaašafaaʻatuwWWWwalaayuʼḫAḏuminhaaʻadluwWWWwalaahumyunNNNṣAruuun.
  2.049.084 .waʼiḏnaǧǧaynaakumNNNminʼaalifirʻawnayasuumuunakumsuuuuuuʼalʻaḏaab.
  2.049.085 .yasuumuunakumsuuuuuuʼalʻaḏaabyuḏabbiḥuunaʼab*naaaaaaʼakumwayastaḥyuunanisaaaaaaʼakum.
  2.049.086 .wafiiḏalikumNNNbalaaaaaaʼumNNNmirrAbbikumʻaẓiiim.
  2.050.087 .waʼiḏfarAq*naabikumulbaḥrAfaʼanNNNǧaynaakumwaʼaġrAqnaaʼaalafirʻawnawaʼanNNNtumtanNNNẓuruuun.
  2.051.088 .waʼiḏwaaʻad*naamuusaaʼarbaʻiinalaylatanNNNṯumNNNmattaḫAḏtumulʻiǧ*lamimNNNbaʻdihiwaʼanNNNtumẓAAlimuuun.
  2.052.089 .ṯumNNNmaʻafawnaaʻanNNNkumNNNmimNNNbaʻdiḏaalikalaʻallakumtaškuruuun.
  2.053.090 .waʼiḏʼaataynaamuusalkitaabawalfurqAAnalaʻallakumtahtaduuun.
  2.054.091 .waʼiḏqAAlamuusaaliqAwmihiiyaaqAwmiʼinNNNnakumẓAlamtumʼamNNNfusakumNNNbittiḫAAḏikumulʻiǧ*lafatuubuu.
  2.054.092 .fatuubuuʼilaabaariʼikumfaqtuluuʼamNNNfusakum.
  2.054.093 .ḏalikumḫAyrullakumʻinNNNdabaariʼikumfataabaʻalaykum.
  2.054.094 .ʼinNNNnahuuhuwattawwaaburrAḥiiim.
  2.055.095 .waʼiḏqultumyaamuusaalanNNNnuʼminalakaḥattaanarALLAAhaǧahrAtamNNNfaʼaḫAḏatkumuṣṣAAʻiqAtuwaʼanNNNtumtanNNNẓuruuun.
  2.056.096 .ṯumNNNmabaʻaṯnaakumNNNmimNNNbaʻdimawtikumlaʻallakumtaškuruuun.
  2.057.097 .waẓAllalnaaʻalaykumulġAmaamawaʼanNNNzalnaaʻalaykumulmanNNNnawassalwaakuluuminNNNṭAyyibaatimaarAzaq*naakum.
  2.057.098 .wamaaẓAlamuunaawalaakinNNNkaanuuʼamNNNfusahumyaẓlimuuun.
  2.058.099 .waʼiḏqulnad*ḫuluuhaaḏihilqAryatafakuluuminhaaḥayṯušiʼtumrAġAdawWWWwadḫululbaabasuǧǧadaa.
  2.058.100 .wadḫululbaabasuǧǧadawWWWwaquuluuḥiṭṭAtunNNNnaġfirlakumḫAṭAAyaakum.
  2.058.101 .wasanaziidulmuḥsiniiin.
  2.059.102 .fabaddalallaḏiinaẓAlamuuqAwlanġAyrAllaḏiiqiilalahumfaʼanNNNzalnaa.
  2.059.103 .faʼanNNNzalnaaʻalallaḏiinaẓAlamuuriǧ*zamNNNminassamaaaaaaʼibimaakaanuuyafsuquuun.
  2.060.104 .waʼiḏistasqAAmuusaaliqAwmihiifaqulnaḍribbiʻaṣAAkalḥaǧarAfamNNNfaǧarAtminhuṯnataaʻašrAtaʻaynaa.
  2.060.105 .qAdʻalimakulluʼunaasimNNNmašrAbahum.
  2.060.106 .kuluuwašrAbuumirrizqillaahiwalaataʻṯawfilʼarḍimufsidiiin.
  2.061.107 .waʼiḏqultumyaamuusaalanNNNnaṣbirAʻalaaṭAʻaamiwWWWwaaḥidimNNNfadʻulanaarAbbak.
  2.061.108 .fadʻulanaarAbbakayuḫriǧ*lanaamimNNNmaatumNNNbitulʼarḍumimNNNbaq*lihaawaqiṯṯaaaaaaʼihaawafuumihaawaʻadasihaawabaṣAlihaa.
  2.061.109 .qAAlaʼatastab*diluunallaḏiihuwaʼad*naabillaḏiihuwaḫAyyyr.
  2.061.110 .ʼihbiṭuumiṣrAmNNNfaʼinNNNnalakumNNNmaasaʼaltum.
  2.061.111 .waḍuribatʻalayhimuḏḏillatuwalmaskanatuwabaaaaaaʼuubiġAḍAbimNNNminaLLAAAh.
  2.061.112 .ḏaalikabiʼanNNNnahumkaanuuyakfuruunabiʼaayaatillaahiwayaq*tuluunanNNNnabiyyiinabiġAyrilḥaqq.
  2.061.113 .ḏaalikabimaaʻaṣAwwakaanuuyaʻtaduuun.
  2.062.114 .ʼinNNNnallaḏiinaʼaamanuuwallaḏiinahaaduuwanNNNnaṣAArAAwaṣṣAAbiʼiinamanʼaamanabillaahiwalyawmilʼaaḫir.
  2.062.115 .manʼaamanabillaahiwalyawmilʼaaḫiriwaʻamilaṣAAliḥamNNNfalahumʼaǧ*ruhum.
  2.062.116 .falahumʼaǧ*ruhumʻinNNNdarAbbihimwalaaḫAwfunʻalayhimwalaahumyaḥzanuuun.
  2.063.117 .waʼiḏʼaḫAḏnaamiiṯaaqAkumwarAfaʻnaafawqAkumuṭṭuurAḫuḏuumaaʼaataynaakumNNNbiquwwah.
  2.063.118 .ḫuḏuumaaʼaataynaakumNNNbiquwwatiwWWWwaḏkuruumaafiihilaʻallakumtattaquuun.
  2.064.119 .ṯumNNNmatawallaytumNNNmimNNNbaʻdiḏaalikfalawlaafaḍluLLAAhiʻalaykumwarAḥmatuhuulakunNNNtumNNNminalḫAAsiriiin.
  2.065.120 .walaqAdʻalimtumullaḏiinaʻtadawminNNNkumfissab*tifaqulnaalahumkuunuuqirAdatanḫAAsiʼiiin.
  2.066.121 .faǧaʻalnaahaanakaalallimaabaynayadayhaawamaaḫAlfahaawamawʻiẓAtallilmuttaqiiin.
  2.067.122 .waʼiḏqAAlamuusaaliqAwmihiiʼinNNNnALLAAhayaʼmurukumʼanNNNtaḏbaḥuubaqArAh.
  2.067.123 .qAAluuʼatattaḫiḏunaahuzuwaa.
  2.067.124 .qAAlaʼaʻuuḏubillaahiʼanʼakuunaminalǧaahiliiin.
  2.068.125 .qAAludʻulanaarAbbakayubayyillanaamaahiy.
  2.068.126 .qAAlaʼinNNNnahuuyaquuluʼinNNNnahaabaqArAtullaafaariḍuwWWWwalaabikrunʻawaanumNNNbaynaḏaalik.
  2.068.127 .ʻawaanumNNNbaynaḏaalikafafʻaluumaatuʼmaruuun.
  2.069.128 .qAAludʻulanaarAbbakayubayyillanaamaalawnuhaa.
  2.069.129 .qAAlaʼinNNNnahuuyaquuluʼinNNNnahaabaqArAtunNNNṣAfrAAAAAAʼufaaqiʻullawnuhaatasurrunNNNnaaẓiriiin.
  2.070.130 .qAAludʻulanaarAbbakayubayyillanaamaahiyaʼinNNNnalbaqArAtašaabahaʻalaynaa.
  2.070.131 .ʼinNNNnalbaqArAtašaabahaʻalaynaawaʼinNNNnaaʼinNNNšaaaaaaʼALLAAhulamuhtaduuun.
  2.071.132 .qAAlaʼinNNNnahuuyaquuluʼinNNNnahaabaqArAtullaaḏaluulunNNNtuṯiirulʼarḍAwalaatasqilḥarṯamusallamatullaašiyatafiihaa.
  2.071.133 .qAAlulʼaanaǧiʼtabilḥaqq.
  2.071.134 .faḏabaḥuuhaawamaakaaduuyafʻaluuun.
  2.072.135 .waʼiḏqAtaltumnafsamNNNfaddaarAʼtumfiihaawALLAAhumuḫriǧumNNNmaakunNNNtumtaktumuuun.
  2.073.136 .faqulnaḍribuuhubibaʻḍihaa.
  2.073.137 .kaḏaalikayuḥyillaahulmawtaawayuriikumʼaayaatihiilaʻallakumtaʻqiluuun.
  2.074.138 .ṯumNNNmaqAsatquluubukumNNNmimNNNbaʻdiḏaalikafahiyakalḥiǧaarAtiʼawʼašaduqAswah.
  2.074.139 .waʼinNNNnaminalḥiǧaarAtilamaayatafaǧǧaruminhulʼanhaaar.
  2.074.140 .waʼinNNNnaminhaalamaayaššaqqAqufayaḫruǧuminhulmaaaaaaʼ.
  2.074.141 .waʼinNNNnaminhaalamaayahbiṭuminḫAšyatillaaah.
  2.074.142 .wamaLLAAhubiġAAfilinʻamNNNmaataʻmaluuun.
  2.075.143 .ʼafataṭ*maʻuunaʼayYYYyuʼminuulakumwaqAd*kaanafariiqumNNNminhumyasmaʻuunakalaamaLLAAhiṯumNNNmayuḥarrifuunah.
  2.075.144 .waqAd*kaanafariiqumNNNminhumyasmaʻuunakalaamaLLAAhiṯumNNNmayuḥarrifuunahuumimNNNbaʻdimaaʻaqAluuhuwahumyaʻlamuuun.
  2.076.145 .waʼiḏaalaqullaḏiinaʼaamanuuqAAluuʼaamanNNNnaawaʼiḏaaḫAlaabaʻḍuhumʼilaabaʻḍinNNNqAAluu.
  2.076.146 .qAAluuʼatuḥaddiṯuunahumNNNbimaafataḥaLLAAhuʻalaykumliyuḥaaaaaaaaaaǧǧuukumNNNbihiiʻinNNNdarAbbikum.
  2.076.147 .ʼafalaataʻqiluuun.
  2.077.148 .ʼawalaayaʻlamuunaʼanNNNnALLAAhayaʻlamumaayusirruunawamaayuʻlinuuun.
  2.078.149 .waminhumʼumNNNmiyyuunalaayaʻlamuunalkitaabaʼillaaʼamaaniyyawaʼinhumʼillaayaẓunNNNnuuun.
  2.079.150 .fawaylullillaḏiinayaktubuunalkitaababiʼaydiihimṯumNNNmayaquuluunahaaḏaaminʻinNNNdillaahiliyaštaruubihiṯamananNNNqAliilaa.
  2.079.151 .fawaylullahumNNNmimNNNmaakatabatʼaydiihimwawaylullahumNNNmimNNNmaayaksibuuun.
  2.080.152 .waqAAluulanNNNtamassananNNNnaaruʼillaaʼayyaamamNNNmaʻduudah.
  2.080.153 .qulʼattaḫAḏtumʻinNNNdaLLAAhiʻahdamNNNfalayYYYyuḫlifALLAAhuʻahdahuuʼamtaquuluunaʻalaLLAAhimaalaataʻlamuuun.
  2.081.154 .balaamanNNNkasabasayyiʼatawWWWwaʼaḥaaṭAtbihiiḫAṭiiiiiiʼatuhuufaʼulaaaaaaʼikaʼaṣḥaabunNNNnaarhumfiihaaḫAAliduuun.
  2.082.155 .wallaḏiinaʼaamanuuwaʻamiluṣṣAAliḥaatiʼulaaaaaaʼikaʼaṣḥaabulǧanNNNnahhumfiihaaḫAAliduuun.
  2.083.156 .waʼiḏʼaḫAḏnaamiiṯaaqAbaniiʼisrAAAAAAʼiilalaataʻbuduunaʼillaLLAAhawabilwaalidayniʼiḥsaanaa.
  2.083.157 .wabilwaalidayniʼiḥsaanawWWWwaḏilqurbaawalyataamaawalmasaakiiniwaquuluulinNNNnaasiḥusnaa.
  2.083.158 .waquuluulinNNNnaasiḥusnawWWWwaʼaqiimuṣṣAlaatawaʼaatuzzakaataṯumNNNmatawallaytum.
  2.083.159 .ṯumNNNmatawallaytumʼillaaqAliilamNNNminNNNkumwaʼanNNNtumNNNmuʻriḍuuun.
  2.084.160 .waʼiḏʼaḫAḏnaamiiṯaaqAkumlaatasfikuunadimaaaaaaʼakumwalaatuḫriǧuunaʼamNNNfusakumNNNminNNNdiyaarikumṯumNNNmaʼaq*rArtum.
  2.084.161 .ṯumNNNmaʼaq*rArtumwaʼanNNNtumtašhaduuun.
  2.085.162 .ṯumNNNmaʼanNNNtumhaaʼulaaaaaaʼitaq*tuluunaʼamNNNfusakumwatuḫriǧuunafariiqAmNNNminNNNkum.
  2.085.163 .watuḫriǧuunafariiqAmNNNminNNNkumNNNminNNNdiyaarihimtaẓAAharuunaʻalayhimNNNbilʼiṯmiwalʻud*waaniwaʼiyYYYyaʼtuukumʼusaarAAtufaaduuhum.
  2.085.164 .waʼiyYYYyaʼtuukumʼusaarAAtufaaduuhumwahuwamuḥarrAmunʻalaykumʼiḫrAAǧuhum.
  2.085.165 .ʼafatuʼminuunabibaʻḍilkitaabiwatakfuruunabibaʻḍ.
  2.085.166 .famaaǧazaaaaaaʼumayYYYyafʻaluḏaalikaminNNNkumʼillaaḫizyumNNNfilḥayaatiddunyaa.
  2.085.167 .wayawmalqiyaamatiyurAdduunaʼilaaʼašaddilʻaḏaaab.
  2.085.168 .wamaLLAAhubiġAAfilinʻamNNNmaataʻmaluuun.
  2.086.169 .ʼulaaaaaaʼikallaḏiinaštarAwulḥayaataddunyaabilʼaaḫirAtifalaayuḫAffafuʻanhumulʻaḏaab.
  2.086.170 .falaayuḫAffafuʻanhumulʻaḏaabuwalaahumyunNNNṣAruuun.
  2.087.171 .walaqAd*ʼaataynaamuusalkitaabawaqAffaynaamimNNNbaʻdihiibirrusuliwaʼaataynaaʻiisab*namaryamalbayyinaatiwaʼayyadnaahubiruuḥilqudus.
  2.087.172 .ʼafakullamaaǧaaaaaaʼakumrAsuulumNNNbimaalaatahwaaʼamNNNfusukumustakbartumfafariiqAnNNNkaḏḏab*tumwafariiqAnNNNtaq*tuluuun.
  2.088.173 .waqAAluuquluubunaaġulf.
  2.088.174 .ballaʻanahumuLLAAhubikufrihimfaqAliilamNNNmaayuʼminuuun.
  2.089.175 .walamNNNmaaǧaaaaaaʼahumkitaabumNNNminʻinNNNdillaahimuṣAddiqullimaamaʻahumwakaanuu.
  2.089.176 .wakaanuuminNNNqAb*luyastaftiḥuunaʻalallaḏiinakafaruufalamNNNmaaǧaaaaaaʼahumNNNmaaʻarAfuukafaruubih.
  2.089.177 .falaʻnatuLLAAhiʻalalkaafiriiin.
  2.090.178 .biʼsamaštarAwbihiiʼamNNNfusahumʼayYYYyakfuruubimaaʼanNNNzalaLLAAhubaġyanʼayYYYyunazzilaLLAAhumimNNNfaḍlihiʻalaamayYYYyašaaaaaaʼuminʻibaadih.
  2.090.179 .fabaaaaaaʼuubiġAḍAbinʻalaaġAḍAb.
  2.090.180 .walilkaafiriinaʻaḏaabumNNNmuhiiin.
  2.091.181 .waʼiḏaaqiilalahumʼaaminuubimaaʼanNNNzalaLLAAhuqAAluunuʼminubimaaʼunNNNzilaʻalaynaawayakfuruunabimaawarAAAAAAʼahuuwahuwalḥaqqumuṣAddiqAllimaamaʻahum.
  2.091.182 .qulfalimataq*tuluunaʼamNNNbiyaaaaaaʼALLAAhiminNNNqAb*luʼinNNNkunNNNtumNNNmuʼminiiin.
  2.092.183 .walaqAdǧaaaaaaʼakumNNNmuusaabilbayyinaatiṯumNNNmattaḫAḏtumulʻiǧ*lamimNNNbaʻdihiiwaʼanNNNtumẓAAlimuuun.
  2.093.184 .waʼiḏʼaḫAḏnaamiiṯaaqAkumwarAfaʻnaafawqAkumuṭṭuurAḫuḏuumaaʼaataynaakumNNNbiquwwatiwWWWwasmaʻuu.
  2.093.185 .qAAluusamiʻnaawaʻaṣAynaawaʼušribuufiiquluubihimulʻiǧ*labikufrihim.
  2.093.186 .qulbiʼsamaayaʼmurukumNNNbihiʼiimaanukumʼinNNNkunNNNtumNNNmuʼminiiin.
  2.094.187 .qulʼinNNNkaanatlakumuddaarulʼaaḫirAtuʻinNNNdaLLAAhiḫAAliṣAtamNNNminNNNduuninNNNnaasifatamanNNNnawilmawtaʼinNNNkunNNNtumṣAAdiqiiin.
  2.095.188 .walayYYYyatamanNNNnawhuʼabadamNNNbimaaqAddamatʼaydiihim.
  2.095.189 .wALLAAhuʻaliimumNNNbiẓẓAAlimiiin.
  2.096.190 .walataǧidanNNNnahumʼaḥrAṣAnNNNnaasiʻalaaḥayaatiwWWWwaminallaḏiinaʼašrAkuu.
  2.096.191 .yawadduʼaḥaduhumlawyuʻamNNNmaruʼalfasanahwamaahuwabimuzaḥziḥihiiminalʻaḏaabiʼayYYYyuʻamNNNmar.
  2.096.192 .wALLAAhubaṣiirumNNNbimaayaʻmaluuun.
  2.097.193 .qulmanNNNkaanaʻaduwwalliǧib*riilafaʼinNNNnahuunazzalahuuʻalaaqAlbikabiʼiḏnillaahimuṣAdiqAllimaabaynayadayhiwahudawWWWwabušrAAlilmuʼminiiin.
  2.098.194 .manNNNkaanaʻaduwwallillaahiwamalaaaaaaʼikatihiiwarusulihiiwaǧib*riilawamiikaalafaʼinNNNnALLAAhaʻaduwwullilkaafiriiin.
  2.099.195 .walaqAd*ʼanNNNzalnaaʼilaykaʼaayaatimNNNbayyinaatwamaayakfurubihaaʼillalfaasiquuun.
  2.100.196 .ʼawakullamaaʻaahaduuʻahdanNNNnabaḏahuufariiqumNNNminhum.
  2.100.197 .balʼakṯaruhumlaayuʼminuuun.
